tickerID,fiscalQ,revenue,quarter,year,fiscalQ1,company_name,exchange,symbol
AMEX:NHC,FQ42015,223.001,4,2015,2015Q4,NA,NA,NA
AMEX:NHC,FQ12016,218.106,1,2016,2016Q1,NA,NA,NA
AMEX:NHC,FQ22016,216.487,2,2016,2016Q2,NA,NA,NA
AMEX:NHC,FQ32016,218.647,3,2016,2016Q3,NA,NA,NA
AMEX:NHC,FQ42016,227.484,4,2016,2016Q4,NA,NA,NA
AMEX:NHC,FQ12017,227.959,1,2017,2017Q1,NA,NA,NA
AMEX:PARR,FQ12013,64.886,1,2013,2013Q1,NA,NA,NA
AMEX:PARR,FQ22013,29.367,2,2013,2013Q2,NA,NA,NA
AMEX:PARR,FQ32013,35.385,3,2013,2013Q3,NA,NA,NA
AMEX:PARR,FQ42013,756.376,4,2013,2013Q4,NA,NA,NA
AMEX:PARR,FQ12014,743.246,1,2014,2014Q1,NA,NA,NA
AMEX:PARR,FQ22014,802.137,2,2014,2014Q2,NA,NA,NA
AMEX:PARR,FQ32014,854.286,3,2014,2014Q3,NA,NA,NA
AMEX:PARR,FQ42014,708.356,4,2014,2014Q4,NA,NA,NA
AMEX:PARR,FQ12015,543.611,1,2015,2015Q1,NA,NA,NA
AMEX:PARR,FQ22015,583.759,2,2015,2015Q2,NA,NA,NA
AMEX:PARR,FQ32015,495.503,3,2015,2015Q3,NA,NA,NA
AMEX:PARR,FQ42015,443.464,4,2015,2015Q4,NA,NA,NA
AMEX:PARR,FQ12016,377.812,1,2016,2016Q1,NA,NA,NA
AMEX:PARR,FQ22016,413.793,2,2016,2016Q2,NA,NA,NA
AMEX:PARR,FQ32016,510.305,3,2016,2016Q3,NA,NA,NA
AMEX:PARR,FQ42016,563.136,4,2016,2016Q4,NA,NA,NA
AMEX:PARR,FQ12017,605.253,1,2017,2017Q1,NA,NA,NA
AMEX:PRK,FQ12013,18.805,1,2013,2013Q1,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ22013,19.298,2,2013,2013Q2,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ32013,17.379,3,2013,2013Q3,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ42013,17.778,4,2013,2013Q4,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ12014,16.648,1,2014,2014Q1,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ22014,19.671,2,2014,2014Q2,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ32014,19.396,3,2014,2014Q3,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ42014,19.827,4,2014,2014Q4,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ12015,18.082,1,2015,2015Q1,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ22015,19.191,2,2015,2015Q2,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ32015,20.191,3,2015,2015Q3,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ42015,19.296,4,2015,2015Q4,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ12016,17.179,1,2016,2016Q1,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ22016,18.736,2,2016,2016Q2,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ32016,20.535,3,2016,2016Q3,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ42016,22.071,4,2016,2016Q4,Park National Corporation,AMEX,PRK
AMEX:PRK,FQ12017,17.507,1,2017,2017Q1,Park National Corporation,AMEX,PRK
AMEX:REI,FQ12013,1.09874,1,2013,2013Q1,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ22013,1.23212,2,2013,2013Q2,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ32013,2.68979,3,2013,2013Q3,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ42013,4.81809,4,2013,2013Q4,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ12014,5.69449,1,2014,2014Q1,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ22014,10.68719,2,2014,2014Q2,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ32014,10.42568,3,2014,2014Q3,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ42014,9.52188,4,2014,2014Q4,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ12015,5.76867,1,2015,2015Q1,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ22015,8.55391,2,2015,2015Q2,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ32015,8.21866,3,2015,2015Q3,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ42015,7.00458,4,2015,2015Q4,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ12016,5.79312,1,2016,2016Q1,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ22016,6.76057,2,2016,2016Q2,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ32016,7.43351,3,2016,2016Q3,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ42016,9.35842,4,2016,2016Q4,"Ring Energy, Inc.",AMEX,REI
AMEX:REI,FQ12017,11.66053,1,2017,2017Q1,"Ring Energy, Inc.",AMEX,REI
AMEX:SEB,FQ12013,1582.296,1,2013,2013Q1,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ22013,1684.039,2,2013,2013Q2,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ32013,1648.105,3,2013,2013Q3,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ42013,1755.974,4,2013,2013Q4,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ12014,1479.636,1,2014,2014Q1,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ22014,1694.591,2,2014,2014Q2,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ32014,1622.641,3,2014,2014Q3,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ42014,1676.132,4,2014,2014Q4,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ12015,1452,1,2015,2015Q1,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ22015,1428,2,2015,2015Q2,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ32015,1411,3,2015,2015Q3,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ42015,1303,4,2015,2015Q4,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ12016,1319,1,2016,2016Q1,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ22016,1357,2,2016,2016Q2,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ32016,1330,3,2016,2016Q3,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ42016,1373,4,2016,2016Q4,Seaboard Corporation,AMEX,SEB
AMEX:SEB,FQ12017,1399,1,2017,2017Q1,Seaboard Corporation,AMEX,SEB
AMEX:SRCI,FQ12013,7.5,1,2013,2013Q1,NA,NA,NA
AMEX:SRCI,FQ22013,9.827,2,2013,2013Q2,NA,NA,NA
AMEX:SRCI,FQ32013,11.247,3,2013,2013Q3,NA,NA,NA
